time,open,high,low,close,Volume,Volume MA
2020-07-15T21:00:00Z,9214.82,9231.9,9197.63,9227.87,76.27678651,171.5902858955045
2020-07-15T22:00:00Z,9228.22,9230.53,9200,9200,119.47089595,175.87130191300452
2020-07-15T23:00:00Z,9203.19,9205.9,9181.88,9190.07,142.40569687,180.3450979180045
2020-07-16T00:00:00Z,9191,9215.19,9171.96,9206.77,83.56902176,180.6668044645045
2020-07-16T01:00:00Z,9205.07,9217.5,9199.63,9210.63,43.09347864,179.38721010750447
2020-07-16T02:00:00Z,9212.66,9216.13,9191.54,9191.55,34.95922422,178.55429146900448
2020-07-16T03:00:00Z,9195.68,9199.6,9185.71,9193.51,24.10065645,171.04339796400447
2020-07-16T04:00:00Z,9195.44,9208.62,9194.28,9195.02,61.10765471,153.10256600450447
2020-07-16T05:00:00Z,9195.17,9200.83,9177.89,9194.2,157.23545172,132.57106413850448
2020-07-16T06:00:00Z,9192.82,9198.56,9133.68,9169.28,238.20813018,134.37167275250448
2020-07-16T07:00:00Z,9164.35,9166.71,9026.51,9112.53,1346.34509802,190.6296570925045
2020-07-16T08:00:00Z,9110.79,9125.21,9090.15,9109.87,471.93390381,208.23653162100445
2020-07-16T09:00:00Z,9106.8,9106.8,9040.25,9054.86,672.9574224,239.39851318300444
2020-07-16T10:00:00Z,9055.12,9091.11,9028.35,9088.77,316.31130599,249.85323202700442
2020-07-16T11:00:00Z,9091.31,9095.26,9066.23,9066.42,163.46030284,240.9128018465044
2020-07-16T12:00:00Z,9068.95,9094.15,9067.39,9069.44,243.76001448,240.60302821850442
2020-07-16T13:00:00Z,9074.9,9089.78,9059.35,9070.95,190.59381494,243.75747936400438
2020-07-16T14:00:00Z,9073.55,9114.64,9058.76,9105.28,215.49682922,244.2645312275044
2020-07-16T15:00:00Z,9105.1,9122.86,9090.57,9111.84,369.60865557,253.46608453300442
2020-07-16T16:00:00Z,9116,9139,9109.2,9112.77,203.42397602,258.7159160150044
2020-07-16T17:00:00Z,9114.13,9131.79,9113.24,9125.46,83.63600074,259.0838767265044
2020-07-16T18:00:00Z,9124.36,9153.83,9116.22,9122.08,115.70123819,258.8953938385044
2020-07-16T19:00:00Z,9119.07,9128.57,9108.13,9119.12,143.85480564,258.96784927700435
2020-07-16T20:00:00Z,9119.12,9124.66,9084.65,9102.7,124.77768455,261.02828241650434
2020-07-16T21:00:00Z,9102.71,9130.83,9102.68,9123.92,97.89191507,263.7682042380044
