time,open,high,low,close,Volume,Volume MA
2016-01-18T16:00:00Z,99.191,99.2,98.956,99.086,NaN,NaN
2016-01-18T20:00:00Z,99.072,99.13,99.023,99.099,NaN,NaN
2016-01-19T00:00:00Z,99.131,99.193,99.025,99.117,NaN,NaN
2016-01-19T04:00:00Z,99.119,99.26,99.107,99.24,NaN,NaN
2016-01-19T08:00:00Z,99.234,99.246,99.05,99.233,NaN,NaN
2016-01-19T12:00:00Z,99.23,99.31,99.058,99.171,NaN,NaN
2016-01-19T16:00:00Z,99.17,99.18,98.864,98.991,NaN,NaN
2016-01-19T20:00:00Z,98.99,99.155,98.981,99.078,NaN,NaN
2016-01-20T00:00:00Z,99.019,99.047,98.845,98.881,NaN,NaN
2016-01-20T04:00:00Z,98.876,98.899,98.731,98.881,NaN,NaN
2016-01-20T08:00:00Z,98.89,99.074,98.626,99.044,NaN,NaN
2016-01-20T12:00:00Z,99.041,99.135,98.835,99.064,NaN,NaN
2016-01-20T16:00:00Z,99.056,99.165,98.837,99.091,NaN,NaN
2016-01-20T20:00:00Z,99.086,99.185,99.057,99.063,NaN,NaN
2016-01-21T00:00:00Z,99.176,99.239,99.122,99.127,NaN,NaN
2016-01-21T04:00:00Z,99.125,99.167,98.909,98.997,NaN,NaN
2016-01-21T08:00:00Z,98.998,99.139,98.981,99.027,NaN,NaN
2016-01-21T12:00:00Z,99.029,99.799,98.97,99.444,NaN,NaN
2016-01-21T16:00:00Z,99.443,99.491,98.942,99.056,NaN,NaN
2016-01-21T20:00:00Z,99.051,99.164,98.935,99.116,NaN,NaN
2016-01-22T00:00:00Z,99.178,99.355,99.175,99.288,NaN,NaN
2016-01-22T04:00:00Z,99.284,99.461,99.264,99.347,NaN,NaN
2016-01-22T08:00:00Z,99.343,99.372,99.113,99.26,NaN,NaN
2016-01-22T12:00:00Z,99.262,99.464,99.197,99.29,NaN,NaN
2016-01-22T16:00:00Z,99.298,99.58,99.239,99.574,NaN,NaN
2016-01-22T20:00:00Z,99.572,99.592,99.49,99.534,NaN,NaN
2016-01-25T00:00:00Z,99.527,99.547,99.365,99.39,NaN,NaN
2016-01-25T04:00:00Z,99.391,99.454,99.35,99.424,NaN,NaN
2016-01-25T08:00:00Z,99.426,99.467,99.31,99.438,NaN,NaN
2016-01-25T12:00:00Z,99.437,99.487,99.239,99.375,NaN,NaN
2016-01-25T16:00:00Z,99.373,99.457,99.323,99.36,NaN,NaN
2016-01-25T20:00:00Z,99.355,99.365,99.231,99.282,NaN,NaN
2016-01-26T00:00:00Z,99.299,99.352,99.223,99.311,NaN,NaN
2016-01-26T04:00:00Z,99.312,99.343,99.136,99.179,NaN,NaN
2016-01-26T08:00:00Z,99.173,99.455,99.169,99.426,NaN,NaN
2016-01-26T12:00:00Z,99.417,99.429,99.14,99.143,NaN,NaN
2016-01-26T16:00:00Z,99.141,99.214,99.062,99.087,NaN,NaN
2016-01-26T20:00:00Z,99.084,99.36,98.996,99.039,NaN,NaN
2016-01-27T00:00:00Z,99.027,99.126,98.985,99.001,NaN,NaN
2016-01-27T04:00:00Z,99.002,99.098,98.938,99.022,NaN,NaN
2016-01-27T08:00:00Z,99.005,99.1,98.976,98.995,NaN,NaN
2016-01-27T12:00:00Z,98.997,99.151,98.711,99.104,NaN,NaN
2016-01-27T16:00:00Z,99.095,99.163,98.861,98.902,NaN,NaN
